date,status,session_time,type,duration,rpe,session_load
2015-11-20,Rest day,,[],,,0.0
2015-11-19,Full Training,7:00am,[],60.0,7,420.0
2015-11-19,Full Training,9:00am,[X-training],100.0,6 Hard,600.0
2015-11-19,Rest day,,[],,,0.0
2015-11-18,Full Training,6:30am,[],45.0,6 Hard,270.0
2015-11-17,Full Training,11:30am,[X-training],60.0,7,420.0
2015-11-17,Rest day,,[],,,0.0
2015-11-16,Full Training,6:30am,[],50.0,5,250.0
2015-11-16,Full Training,8:00am,[],60.0,7,420.0
2015-11-15,Full Training,8:30pm,[],60.0,7,420.0
2015-11-15,Rest day,,[],,,0.0
2015-11-14,Full Training,5:30pm,[],60.0,5,300.0
2015-11-14,Full Training,6:30am,[],40.0,4 Moderate,160.0
2015-11-14,Full Training,4:00pm,[],60.0,8 Very Hard,480.0
2015-11-13,Rest day,,[],,,0.0
2015-11-13,Full Training,9:00am,[X-training],30.0,5,150.0
2015-11-12,Full Training,7:00am,[],60.0,7,420.0
2015-11-10,Full Training,5:00pm,[],60.0,4 Moderate,240.0
2015-11-10,Full Training,4:00pm,[],70.0,6 Hard,420.0
2015-11-09,Full Training,6:00pm,[],60.0,5,300.0
2015-11-09,Full Training,8:00am,[],60.0,7,420.0
2015-11-09,Full Training,8:30am,[],90.0,5,450.0
2015-11-09,Sick,,[],,,0.0
2015-11-09,Full Training,4:00pm,[X-training],60.0,6 Hard,360.0
2015-11-08,Full Training,7:30am,[X-training],30.0,2 Light,60.0
2015-11-08,Sick,,[],,,0.0
2015-11-07,Full Training,4:00pm,[],60.0,8 Very Hard,480.0
2015-11-07,Full Training,6:30am,[],60.0,6 Hard,360.0
2015-11-06,Full Training,10:00am,[],80.0,8 Very Hard,640.0
2015-11-06,Full Training,10:00am,[],88.0,8 Very Hard,704.0
2015-11-06,Full Training,6:30pm,[],75.0,4 Moderate,300.0
2015-11-05,Modified Training,5:00pm,[],40.0,8 Very Hard,320.0
2015-11-05,Full Training,7:00am,[],70.0,7,490.0
2015-11-05,Full Training,10:00am,[],70.0,6 Hard,420.0
2015-11-05,Full Training,5:00pm,[],84.0,7,588.0
2015-11-04,Sick,,[],,,0.0
2015-11-04,Full Training,12:00pm,[],80.0,4 Moderate,320.0
2015-11-04,Full Training,5:00pm,[],60.0,6 Hard,360.0
2015-11-04,Full Training,6:30am,[X-training],60.0,5,300.0
2015-11-03,Sick,,[],,,0.0
2015-11-03,Full Training,6.00am,[X-training],45.0,7,315.0
2015-11-03,Full Training,6:30pm,[],60.0,4 Moderate,240.0
2015-11-03,Full Training,10:00am,[],100.0,5,500.0
2015-11-02,Full Training,8:00am,[],90.0,6 Hard,540.0
2015-11-02,Full Training,8:00am,[],60.0,6 Hard,360.0
2016-02-27,Full Training,10:00am,[],100.0,5,500.0
2016-02-27,Full Training,6:00pm,[],100.0,7,700.0
2016-02-27,Full Training,6.00am,[X-training],50.0,8 Very Hard,400.0
2016-01-28,Full Training,10:00am,[],150.0,7,1050.0
2016-01-28,Full Training,6:00pm,[],90.0,6 Hard,540.0
2016-01-28,Full Training,10:30am,[],35.0,4 Moderate,140.0
2016-01-28,Full Training,4:00pm,[],60.0,7,420.0
2016-01-28,Full Training,5:30pm,[X-training],30.0,3,90.0
2016-01-28,Full Training,11:30am,[],90.0,5,450.0
2016-01-28,Full Training,6:00pm,[],100.0,7,700.0
2015-12-28,Full Training,4:00pm,[],90.0,6 Hard,540.0
2015-11-28,Full Training,9:30am,[],90.0,6 Hard,540.0
2015-11-28,Full Training,9:00am,[],90.0,8 Very Hard,720.0
2015-11-28,Full Training,12:00pm,[],120.0,4 Moderate,480.0
2015-11-28,Full Training,7:00am,[],60.0,7,420.0
2015-10-28,Full Training,10:00am,[],120.0,5,600.0
2015-10-28,Full Training,4:00pm,[],90.0,7,630.0
2015-10-28,Full Training,10:00am,[],100.0,7,700.0
2015-10-28,Full Training,4:00pm,[],100.0,7,700.0
2015-09-27,Full Training,6:00pm,[],120.0,6 Hard,720.0
2015-09-27,Full Training,10:00am,[],60.0,6 Hard,360.0
2015-09-27,Full Training,11:00am,[],45.0,5,225.0
2015-09-27,Full Training,5:30am,[],90.0,4 Moderate,360.0
2015-09-27,Full Training,6:00pm,[],110.0,7,770.0
2015-08-28,Full Training,6:00pm,[Rehab],120.0,5,600.0
2015-08-28,Full Training,12:30pm,[],120.0,5,600.0
2015-08-28,Full Training,7:00am,[X-training],30.0,3,90.0
2015-08-28,Full Training,4:00pm,[],60.0,7,420.0
2015-08-28,Full Training,6:00pm,[],100.0,6 Hard,600.0
2015-08-28,Full Training,11:00am,[],120.0,6 Hard,720.0
